Service_Name,Service_URL,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,Arabic,Spanish,Russian,Portuguese,Chinese,English,Vietnamese,Korean,caregivers,trauma survivors,low-income,dual diagnosis,adults,benefit recipients,young adults,developmental disability,opioid dependency,substance dependency,female,with children,chronic illness,alcohol dependency,latino,limited english,eating disorder,african american,criminal justice history,seniors,domestic violence survivors,teens,near homeless,all ages,families,individuals,spouses,all mental health,parents,sexual assault survivors,immigrants,veterans,grieving,male,suicidal thoughts,ptsd,homeless,uninsured,asian,refugees,lgbtqia+,bipolar,anxiety,children,hiv/aids,transgender or non-binary,mothers,adults 18+,all disabilities,undocumented,depression,peer support,bereavement,group therapy,psychiatric emergency services,case management,medications for mental health,checkup & test,drug testing,daily life skills, family counseling,residential care,"counseling, group therapy",one-on-one support,counseling counseling,12-step,help hotlines,parenting education,outpatient,peer recovery coaching,virtual support,substance abuse counseling,navigating the system,addiction & recovery,disease screening,residential treatment,understand mental health,support network,medical care,mental health evaluation,sober living,specialized therapy,anger management, outpatient treatment,individual counseling,spiritual support,government benefits,addiction and recovery,prescription assistance,counseling,treatment,family counseling,community support services,mental health care,prevent & treat,short-term housing,safe housing,counseling medical care,outpatient treatment,detox,residential housing,medications for addiction,support groups,health education,long-term housing,temporary shelter,medication management,substance abuse,meals,skills & training,interview training, resume development,help find work,job placement,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Pathways to Housing PA_Mental Health and Substance Abuse program,https://www.auntbertha.com//pathways-to-housing-pa-%2528pthpa%2529--philadelphia-pa--mental-health-%2526-substance-abuse-program/5728648493531136?postal=19141,"['substance abuse counseling', 'mental health care', 'family counseling', 'help hotlines', 'support groups']",None,"all ages, homeless ,low-income, all mental health, substance dependency",215-599-2150,https://pathwaystohousingpa.org/mental-health-substance-abuse,"5201 Old York Rd, Philadelphia, PA 19141","https://www.google.com/maps/?q=5201+Old+York+Rd,+Philadelphia,+PA+19141/",Chronically homeless at the time of admission with a documented history of long-term homelessness (over 1 year); Living with a severe and persistent mental health diagnosis; Not currently connected to mental health services in Philadelphia; Rent should be equal to 30% of a person's income (regardless of income - 30% of 0 is 0).,available,Mental Health & Substance Abuse Program is a comprehensive community-based treatment designed to end chronic homelessness and support recovery. The model provides comprehensive community-based supports and harm reduction based treatment to persons with mental health and substance abuse diagnoses who are chronically homeless. Services Provided:- Housing- Substance Abuse Recovery- Mental Health Services- Crisis InterventionFor referrals call the Department of Behavioral Health (DBH) at 215-599-2150.,English,Free,Yes,https://www.facebook.com/pathwaystohousing,https://www.twitter.com/@PTHPA,"This program covers residents of the following counties: Philadelphia County, PA.",40.0325212,-75.1449636,19141,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
Achievement Through Counseling and Treatment_Opioid Treatment Program,https://www.auntbertha.com//achievement-through-counseling-and-treatment-%2528act-1%2529--philadelphia-pa--opioid-treatment-program-%2528otp%2529/5792020391002112?postal=19142,"['detox', 'counseling', 'substance abuse counseling']",None,"adults, substance dependency, opioid dependency",215-276-8400,https://www.acadiahealthcare.com/,"5820 Old York Rd., Philadelphia, PA 19141","https://www.google.com/maps/?q=5820+Old+York+Rd.,+Philadelphia,+PA+19141/",Follow the Next Steps to find out if this program has eligibility criteria.,None,"This program provides Medication-Assisted Treatment services for those addicted to opiods such as oxycodone, codeine, fentanyl, morphine, heroin and others. Common treatment drugs are methadone, buprenorphine (Suboxone and Subutex), or naltrexone. Check with this program to see what options are available.",English,None,No,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",40.0420136,-75.1446874,19141,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
Merakey - Pennsylvania_Adult Substance Use Disorder Services,https://www.auntbertha.com//merakey---pennsylvania--philadelphia-pa--adult-substance-use-disorder-services/6032260047568896?postal=19139,"['addiction and recovery', 'substance abuse counseling', 'mental health care', 'counseling']",None,"adults 18+, benefit recipients, all mental health, substance dependency",866-647-0007,https://www.merakey.org/services/addiction-recovery#programs-offered,"5000 Parkside Avenue, Philadelphia, PA 19131","https://www.google.com/maps/?q=5000+Parkside+Avenue,+Philadelphia,+PA+19131/",Must have Medicaid.,available,"Merakey offers comprehensive clinical, evidence-based practice, and therapeutic programs in both community based and clinic based settings to address the impact of addiction on the community, family, and individual.Services Include:- Group, Family, and Individual Counseling- Outpatient and Intensive Outpatient Programs- Drug Free and Medication Assisted Modalities- Co-Occurring Disorders Treatment- Pharmacotherapy Programs- Drug and Alcohol Education- Life Skills Management- Relapse Prevention Planning- Drug ScreeningMerakey accepts Medicaid.",English,Reduced Cost,Yes,https://www.facebook.com/MerakeyOrg/,None,"This program covers residents of the following counties: Delaware County, PA, Montgomery County, PA, Northumberland County, PA and Philadelphia County, PA.",39.9796591,-75.2197374,19131,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
Belmont Behavioral Health System_Adult Inpatient Mental Health Services,https://www.auntbertha.com//belmont-behavioral-health-system--philadelphia-pa--adult-inpatient-mental-health-services/4829363626049536?postal=19139,"['psychiatric emergency services', 'addiction & recovery', 'substance abuse counseling', 'mental health care', 'counseling']",None,"adults 18+, individuals, benefit recipients, depression, bipolar, suicidal thoughts, anxiety, eating disorder, ptsd, substance dependency, less, opioid dependency, alcohol dependency, dual diagnosis",855-337-0572,https://www.belmontbehavioral.com/programs/inpatient/adult-inpatient/,"4200 Monument Road, Philadelphia, PA 19131","https://www.google.com/maps/?q=4200+Monument+Road,+Philadelphia,+PA+19131/",Must have Medicare or Medicaid.,available,"At Belmont Behavioral Health Hospital, we are dedicated to providing the highest quality of care to adults age 18 and older who are seeking help for mental health challenges. We offer several levels of adult inpatient programs at our facility in Philadelphia, Pennsylvania.We offer:- Inpatient psychiatric care- Dual diagnosis of a substance use- Mood and personality disorder treatmentWhen you or someone you love comes to Belmont for help with a mental health crisis, our expert team will conduct a comprehensive assessment to determine which adult inpatient program is the best level of care to meet your unique needs. We provide adults with the individualized care that helps them heal and recover in the way that is most beneficial for them.Belmont Behavioral Hospital accepts Medicare & Medicaid.",English,Reduced Cost,Yes,https://www.facebook.com/belmontbh/,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9999795,-75.2143097,19131,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
Circle Counseling_Counseling,https://www.auntbertha.com//circle-counseling--philadelphia-pa--counseling/4780892498952192?postal=19139,"['substance abuse counseling', 'bereavement', 'parenting education', 'understand mental health', 'counseling', 'mental health care', 'anger management', 'family counseling', 'individual counseling', 'mental health evaluation']",None,"adults, young adults, teens, children, seniors, grieving, families, with children, spouses, parents, less, depression, bipolar, suicidal thoughts, anxiety, eating disorder, ptsd, substance dependency",267-254-0015,https://circlecounseling.com/therapists-and-services/,"4617 Woodland Avenue, Philadelphia, PA 19143","https://www.google.com/maps/?q=4617+Woodland+Avenue,+Philadelphia,+PA+19143/",Anyone can access this program.,available,Circle Counseling offers counseling for those who are living with mental health issues and are seeking treatment to help address issues related to mental health and loved ones. This program provides: - Individual counseling- Couples counseling- Family counselingTherapists specialize in:- Depression- Anxiety- Spiritual formation- Women__ issues- Grief- Personal growth- Aging- Self-esteem- Anger management- Stress- Eating disorders- Sexuality- Emotional and physical abuse- Work and career concerns- Substance Abuse- Separation & Divorce- Relaxation and Meditation training- Relationship skills- Communication- Intimacy- Money management- Power- Parenting issuesServices are offered on a sliding scale basis. Please inquire for more information.,English,Sliding Scale,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9442213,-75.2103561,19143,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
Courdea_Therapy for Personal and Relationship Issues,https://www.auntbertha.com//courdea--philadelphia-pa--therapy-for-personal-and-relationship-issues/5671175268335616?postal=19142,"['substance abuse counseling', 'specialized therapy', 'counseling', 'family counseling', 'individual counseling']",None,"adults, young adults, teens, seniors, spouses, depression, anxiety, all mental health, substance dependency, lgbtqia+",215-242-2235,https://www.courdea.org/therapy-for-personal-relationship-issues-2/,None,https://www.google.com/maps/?q=/,Follow the Next Steps to find out if this program has eligibility criteria.,available,Courdea's skilled and caring therapists can help with a wide range of personal and relationship concerns. They approach clients with curiosity and nonjudgmental warmth regardless of what help is needed. This program provides therapy services including:- Relationships- Substance abuse- Anxiety and Depression- Gender and Sexuality- Spiritual/religious,English,None,Yes,https://www.facebook.com/menergyllc/,https://www.twitter.com/@MenergyLLC,"This program covers residents of the following counties: Philadelphia County, PA.",39.9412882,-75.2187346,19143,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
"Men and Women for Human Excellence, Inc. (MWFHE)_Residential Therapeutic Community",https://www.auntbertha.com//men-and-women-for-human-excellence%252C-inc.-%2528mwfhe%2529--philadelphia-pa--residential-therapeutic-community/4964759830003712?postal=19139,"['sober living', 'addiction & recovery', 'residential treatment', 'substance abuse counseling', 'peer support']",None,"adults 18+, individuals, homeless, all mental health, substance dependency",215-594-3581,https://mwfhe.org/what-we-do/residential-therapeutic-community/,"2600 Cecil B. Moore Avenue, Philadelphia, PA 19121","https://www.google.com/maps/?q=2600+Cecil+B.+Moore+Avenue,+Philadelphia,+PA+19121/",This program serves homeless people residing in the listed coverage areas.,available,"Residential Therapeutic Community is an intensive and comprehensive treatment model developed for use with adults with substance abuse or mental health challenges. It is a substance-free living environment in which alcohol and substance users can holistically rebuild their lives by using the person-first, strength-based approach, and the incorporation of the principles of Narcotics Anonymous.This program provides:- Sober living- Therapeutic peer community",English,Free,Yes,https://www.facebook.com/mwfhe,https://www.twitter.com/@MWFHE,"This program covers residents of the following counties: Dekalb County, GA and Philadelphia County, PA.",39.9810206,-75.1774419,19121,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8:00 AM - 8:00 PM  EDT,8:00 AM - 8:00 PM  EDT,8:00 AM - 8:00 PM  EDT,8:00 AM - 8:00 PM  EDT,8:00 AM - 8:00 PM  EDT,Closed,Closed,No
Youth Advocate Programs of Pennsylvania_Intensive Outpatient Programs or Day Treatment - Youth,https://www.auntbertha.com//youth-advocate-programs-of-pennsylvania--philadelphia-pa--intensive-outpatient-programs-%2528iop%2529-day-treatment---youth/6494806799548416?postal=19139,"['addiction and recovery', 'substance abuse counseling', 'counseling', 'individual counseling']",None,"teens, all mental health, substance dependency",215-599-2174,https://www.yapinc.org/Our-Services/Behavioral-Health,"900 West Jefferson Street, Philadelphia, PA 19122","https://www.google.com/maps/?q=900+West+Jefferson+Street,+Philadelphia,+PA+19122/",Follow the Next Steps to find out if this program has eligibility criteria.,available,"Youth Advocate Programs offers an IOP program for its youth residents. IOP services are different from residential inpatient rehab programs and partial hospitalization programs in that treatment is generally part-time.  However, the intensive outpatient program is far more comprehensive than traditional outpatient programs that only consist of a few therapy sessions.  The IOP consists of numerous weekly therapy sessions at YAP's outpatient facility with experienced counselors (trained in addictions, eating disorders, etc.).Services offered:- Individual therapy- Substance abuse therapyTo make a self referral and inquire about specific services in your area please contact your local county office.",English,Free,Yes,https://www.facebook.com/YAPINC1975/,https://www.twitter.com/https://twitter.com/YAPInc,"This program covers residents of the following counties: Adams County, PA, Allegheny County, PA, Bedford County, PA, Berks County, PA, Bradford County, PA, Carbon County, PA, Crawford County, PA, Dauphin County, PA, Franklin County, PA, Huntingdon County, PA, Juniata County, PA, Lackawanna County, PA, Lancaster County, PA, Lebanon County, PA, Lehigh County, PA, Mercer County, PA, Mifflin County, PA, Monroe County, PA, Northampton County, PA, Philadelphia County, PA, Pike County, PA, Schuylkill County, PA, Somerset County, PA, Susquehanna County, PA, Wyoming County, PA and York County, PA.",39.9740456,-75.1507073,19121,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
Rogers Behavioral Health_Recovery Services,https://www.auntbertha.com//rogers-behavioral-health--philadelphia-pa--recovery-services/4831834257227776?postal=19139,"['addiction and recovery', 'outpatient treatment', 'residential treatment', 'substance abuse counseling', 'specialized therapy', 'mental health care', 'mental health evaluation', 'support groups']",None,"adults, young adults, teens, children, seniors, individuals, benefit recipients, low-income, uninsured, limited english, less, depression, anxiety, eating disorder, ptsd, all mental health, substance dependency, dual diagnosis",800-767-4411,https://rogersbh.org/what-expect/getting-started,"1 Winding Drive, Philadelphia, PA 19131","https://www.google.com/maps/?q=1+Winding+Drive,+Philadelphia,+PA+19131/",This program helps people who are suffering from mental health and/or substance abuse issues.,available,"Rogers Behavioral Health offers evidence-based treatment for adults, children, and adolescents with a variety of mental health and substance use issues.This program provides:- Outpatient treatment- Partial hospitalization care (PHP)- Intensive outpatient care (IOP)- Residential care- Inpatient care- Specialized therapy- Support groupsConditions treated include:- Depression and other mood disorders- Eating disorders- Addiction- Obsessive-Compulsive and anxiety disorders- Post-Traumatic Stress Disorder (PTSD)Services may vary based on your location. To get started, please call or request a screening appointment through the website. You can call 800-767-4411 for Brown Deer, Oconomowoc, and West Allis, and 888-927-2203 for all other locations. The screening will take approximately 30 to 60 minutes to complete. An intake specialist will ask you a series of questions to offer an appropriate recommendation for the program that best suits your needs. For a children under 18, a representative will ask to speak with a parent or guardian. Rogers Behavioral Health offers financial assistance to patients based on income and household size. Please call 262-303-2180 or visit rogersbh.org/what-expect/financing-your-care/financial-assistance-program for more information about how to apply for financial assistance. Medicare is also accepted.","English, Spanish",Sliding Scale,Yes,https://www.facebook.com/rogers.behavioral.health/,https://www.twitter.com/@Rogers_BH,"This program covers residents of the following counties: Los Angeles County, CA, San Diego County, CA, San Francisco County, CA, Hillsborough County, FL, Miami-Dade County, FL, Fulton County, GA, Cook County, IL, Dupage County, IL, Hennepin County, MN, Ramsey County, MN, Philadelphia County, PA, Davidson County, TN, King County, WA, Dane County, WI, Kenosha County, WI, Milwaukee County, WI, Outagamie County, WI, Sheboygan County, WI and Waukesha County, WI.",40.006894,-75.2079837,19127,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,No
Bethesda Project_My Brother's House,https://www.auntbertha.com//bethesda-project--philadelphia-pa--my-brother%2527s-house/5138871176658944?postal=19139,"['temporary shelter', 'safe housing', 'mental health care', 'substance abuse counseling']","meals,  navigating the system,  case management","all ages, male, homeless, near homeless, all mental health",215-985-1600,https://www.bethesdaproject.org/housing-shelter,"609 South 15th Street, Philadelphia, PA 19146","https://www.google.com/maps/?q=609+South+15th+Street,+Philadelphia,+PA+19146/",This program serves homeless men.,available,"My Brother's House program offers a safe heaven that provides pre-recovery housing and an array of supportive services to 20 vulnerable men with chronic mental illness and substance abuse problem. This program provides:- Temporary shelterIn addition to a safe place to stay, resident are provided with:- Meals- Social services",English,Free,Yes,https://www.facebook.com/BethesdaProject/,https://www.twitter.com/@Bethesda_Proj,"This program covers residents of the following counties: Philadelphia County, PA.",39.9435134,-75.1671526,19146,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
Mazzoni Center_Intensive Outpatient Program at Mazzoni Center,https://www.auntbertha.com//mazzoni-center--philadelphia-pa--intensive-outpatient-program-%2528iop%2529-at-mazzoni-center/4921265385242624?postal=19142,"['addiction and recovery', 'substance abuse counseling', 'peer recovery coaching', 'support network', 'peer support', 'support groups']","peer recovery coaching,  support groups","adults, lgbtqia+, individuals, families, spouses, substance dependency",215-563-0652,https://www.mazzonicenter.org/supportive-services/therapy-and-recovery/recovery-services-iopop,"1348 Bainbridge Street, Philadelphia, PA 19147","https://www.google.com/maps/?q=1348+Bainbridge+Street,+Philadelphia,+PA+19147/",This program helps people who are older than 17 years old.,available,"Mazzoni Center provides a LGBTQ-focused Intensive Outpatient Program (IOP) for alcohol and substance use. This program provides an affirming, safe and respectful treatment opportunity promoting growth and self-discovery.
This program provides:
- Multi-faceted group therapy    
- Aftercare planning
- Individual therapy    
- Medication-Assisted Treatment
- Psychiatric services    
- Peer-based support     
- Peer Recovery support
- Family therapy    
- Relapse prevention    
- Referrals to other Mazzoni Center supportive services

This program is exclusively for LGBTQ people.

We accept most major insurance plans, as well as Medicaid, and some Medicare plans. it is important to understand that all plans vary in coverage. As part of the intake process, they will determine your coverage and cost for IOP. If you are uninsured, we can help determine if you are eligible for special funding, such as Ryan White, to help cover costs. We offer a sliding scale to those who are uninsured and/or not eligible for other coverage.",English,Sliding Scale,Yes,https://www.facebook.com/MazzoniCenter,https://www.twitter.com/@MazzoniCenter,"This program covers residents of the following counties: Philadelphia County, PA.",39.9425996,-75.1651396,19146,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,8:00 AM - 9:00 PM  EDT,8:00 AM - 9:00 PM  EDT,8:00 AM - 9:00 PM  EDT,8:00 AM - 9:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
The Attic Youth Center_Mental Health Counseling,https://www.auntbertha.com//the-attic-youth-center--philadelphia-pa--mental-health-counseling/4914263431577600?postal=19139,"['substance abuse counseling', 'counseling', 'mental health care', 'anger management', 'group therapy', 'family counseling', 'individual counseling']",virtual support,"young adults, teens, immigrants, developmental disability, lgbtqia+, transgender or non-binary, individuals, families, caregivers, trauma survivors, less, domestic violence survivors, sexual assault survivors, all mental health, substance dependency",215-545-43312,https://atticyouthcenter.org/services/youth-programming/mental-health-counseling,"255 South 16th Street, Philadelphia, PA 19102","https://www.google.com/maps/?q=255+South+16th+Street,+Philadelphia,+PA+19102/","This program helps people who are 14 to 23 years old. This program serves Lesbian, Gay, Bisexual, Transgender and Questioning (LGBTQ) youth and young adults, up to the age of 23, and their families/caregivers (biological or by choice)",available,"The Counseling Department of The Attic Youth Center provides counseling services to LGBTQ youth and young adults and their families/caregivers (biological or by choice). This service uses an LGBTQ affirmative and strength based approach that it is contextual, developmental and culturally sensitive.  This program provides: - Individual therapy- Group therapy- Family and couples therapyThe Attic's clinical team is skilled in addressing a variety of challenges including:- Coming out- Gender questions- Problems at school- Depression and anxiety- Trauma and PTSD- Sexual abuse- Substance abuse- Violence and domestic violence- Anger management- Immigration transitions- Developmental delays- Behavioral and family dynamics as related to the LGBTQ experienceAll Attic counselors and therapists are masters or PhD level and have significant experience working with LGBTQ youth.  To inquire about counseling or to make an appointment, please call The Attic's counseling line and leave a confidential voicemail message with your name and the best way to reach you. A staff member will return your call. You can also reach out by email.All counseling services are currently virtual.",English,Free,Yes,https://www.facebook.com/TheAtticYouthCenter/,https://www.twitter.com/@atticyouthcen,"This program covers residents of the following counties: Philadelphia County, PA.",39.9477596,-75.1678542,19145,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,Yes
