Service_Name,Service_URL,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,food pantry,safe housing,anger management,understand mental health,support network,outpatient treatment,computer or internet access,baby supplies,counseling,after school care,disaster response,addiction & recovery,residential housing,spiritual support,detox,help find housing,sober living,parenting education,skills & training,food delivery,navigating the system,personal care items,help find work,toys & gifts,community support services,home goods,one-on-one support,peer support,group therapy,meals,12-step,emergency food,family counseling,residential treatment,clothing,substance abuse counseling,individual counseling,day camp,personal hygiene,health education,mental health care,nutrition education,short-term housing,case management,mental health evaluation,housing advice,bereavement,temporary shelter,drug testing,virtual support,medical care,recreation,financial education,advocacy & legal aid,Gujarati,Arabic,Armenian,French,Portuguese,American Sign Language,Russian,Haitian,Ukrainian,Hindi,Hebrew,English,Turkish,Spanish,Vietnamese,Khmer,Punjabi,This program serves Delaware County residents.,Centralized Homeless Intake assessment of eligibility required.,This program helps people with income at or below 150% of federal poverty guidelines. Must live in one of the zip codes we service.,Anyone can access this service.,Anyone can access this program.,Must live within our service area.,"This program serves medically fragile, homeless men.","HIV positive consumers need to bring their Ryan White Services Eligibility Card when visiting the food cupboard.
No referral is needed.
This program helps people with income at or below 150% of federal poverty guidelines.","Must live in postal code 19111, 19120 or 19126.",This program is available to anyone seeking refuge that was recently released from U.S. custody,This program helps people who are younger than 21 years old,This program helps people who are older than 59 years old.,This program serves veterans.,Must reside in the Carroll Park West Philadelphia neighborhood.,This program serves homeless men.,Must have Medicaid.,"For homeless individuals residing in the Philadelphia, PA area.","This program helps people who are 14 to 23 years old.
This program serves Lesbian, Gay, Bisexual, Transgender and Questioning (LGBTQ) youth and young adults, up to the age of 23, and their families/caregivers (biological or by choice)",sexual assault survivors,caregivers,emergency,eating disorder,opioid dependency,near homeless,human trafficking survivors,immigrants,uninsured,suicidal thoughts,parents,adults 18+,individuals,ptsd,all mental health,depression,veterans,trauma survivors,low-income,homeless,natural disaster survivors,transgender or non-binary,lgbtqia+,domestic violence survivors,female,runaways,alcohol dependency,anyone in need,spouses,bipolar,benefit recipients,developmental disability,in crisis,families,children,undocumented,all ages,substance dependency,limited english,refugees,dual diagnosis,seniors,grieving,anxiety,criminal justice history,with children,asian,young adults,mothers,all disabilities,adults,male,teens,chronic illness,Cost_Free,Cost_Reduced Cost,Cost_Sliding Scale,Availability_available,Availability_temporarily closed,Availability_full,sexual assault survivors,caregivers,emergency,eating disorder,opioid dependency,near homeless,human trafficking survivors,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Salvation Army Eastern Pennsylvania and Delaware_Emergency Disaster Services,https://www.auntbertha.com//salvation-army-eastern-pennsylvania-%2526-delaware--philadelphia-pa--emergency-disaster-services/5161629360586752?postal=19134,"['disaster response', 'emergency food', 'temporary shelter', 'clothing', 'spiritual support']",None,"['all ages', 'natural disaster survivors', 'emergency']",215-825-4631,https://easternusa.salvationarmy.org/eastern-pennsylvania/help-disaster-survivors/,"701 North Broad Street, Philadelphia, PA 19123","https://www.google.com/maps/?q=701+North+Broad+Street,+Philadelphia,+PA+19123/",[Follow the Next Steps to find out if this program has eligibility criteria.],available,"When disaster strikes, The Salvation Army is often among the first on the scene. In disaster relief operation, The Salvation Army's first aim is to meet the basic needs of those affected _ both survivors and first responders.This program provides:- Food- Disaster shelter- Financial assistance- Spiritual care- Emotional carePlease call this provider for more information.",['English'],Free,Yes,https://www.facebook.com/SalArmyEDS,https://www.twitter.com/@SalArmyEDS,"This program covers residents of the following counties: Adams County, PA, Berks County, PA, Bradford County, PA, Bucks County, PA, Carbon County, PA, Centre County, PA, Chester County, PA, Clinton County, PA, Columbia County, PA, Cumberland County, PA, Dauphin County, PA, Delaware County, PA, Franklin County, PA, Juniata County, PA, Lackawanna County, PA, Lancaster County, PA, Lebanon County, PA, Lehigh County, PA, Luzerne County, PA, Lycoming County, PA, Mifflin County, PA, Monroe County, PA, Montgomery County, PA, Montour County, PA, Northampton County, PA, Northumberland County, PA, Perry County, PA, Philadelphia County, PA, Pike County, PA, Potter County, PA, Schuylkill County, PA, Snyder County, PA, Sullivan County, PA, Susquehanna County, PA, Tioga County, PA, Union County, PA, Wayne County, PA, Wyoming County, PA and York County, PA.",39.9672863,-75.1599648,19123,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed
Saint Helena_St. Helena Food Cupboard,https://www.auntbertha.com//saint-helena--philadelphia-pa--st.-helena-food-cupboard/5017006984921088?postal=19126,"['emergency food', 'food pantry']",None,"['anyone in need', 'all ages', 'individuals', 'families']",267-900-5935,https://sainthelenaparish.net/act/food-cupboard/,"6161 North 5th Street, Philadelphia, PA 19120","https://www.google.com/maps/?q=6161+North+5th+Street,+Philadelphia,+PA+19120/","['Must live in postal code 19111, 19120 or 19126.']",available,The Saint Helena Food Bank provides critical food resources to those in need. The nutrition they supply is critical to individuals and families who may otherwise go hungry.This program provides:- Food to meet nutritional needs- Specially designed Senior BoxesClients can visit once per month. Please call us for more information.,['English'],Free,Yes,https://www.facebook.com/sainthelenaparish,None,"This program covers residents of the following postal codes: 19111, 19120 and 19126.",40.0453383,-75.128017,19120,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Closed,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,6:30 PM - 8:00 PM,12:00 PM - 6:00 PM,Closed
Rock Ministries of Philadelphia_Food Pantry,https://www.auntbertha.com//rock-ministries-of-philadelphia--philadelphia-pa--food-pantry/5640139036164096?postal=19134,"['emergency food', 'food pantry', 'clothing', 'navigating the system', 'spiritual support']","['help find housing', 'addiction & recovery']","['anyone in need', 'all ages', 'individuals', 'families', 'homeless', 'substance dependency', 'alcohol dependency']",215-739-3927,https://www.therockphilly.org/,"2755 Kensington Avenue, Philadelphia, PA 19134","https://www.google.com/maps/?q=2755+Kensington+Avenue,+Philadelphia,+PA+19134/",['Anyone can access this program.'],available,"Rock Ministries of Philadelphia offers their food pantry and community outreach services to supply food, clothing, and resources to all people in need.This program provides:- Food distribution- Clothing- Help finding treatment options, such as detox- Help finding shelter- Faith based supportAnyone in need of emergency food or clothing can call to request assistance. Those in need of non-emergency food or clothing can visit the church after service on Sunday to sign up. After signing up, individuals can pick up the items on the following Wednesday.",['English'],Free,Yes,https://www.facebook.com/therockministry,None,"This program covers residents of the following cities: Philadelphia, PA.",39.9907975,-75.1232852,19124,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed
Old Pine Community Center_Grab and Go Meals,https://www.auntbertha.com//old-pine-community-center-%2528opcc%2529--philadelphia-pa--grab-and-go-meals/5481658659373056?postal=19134,"['emergency food', 'food pantry']",None,"['anyone in need', 'all ages', 'individuals', 'families']",215-627-2493,https://oldpinecommunitycenter.org/programs-services/#food,"401 Lombard Street, Philadelphia, PA 19147","https://www.google.com/maps/?q=401+Lombard+Street,+Philadelphia,+PA+19147/",['Anyone can access this service.'],available,The Old Pine Community Center provides Grab and Go Meals to those who need them. They supply critical nutrition to hungry individuals.This program provides:- Meals to meet basic nutritional needs,['English'],Free,Yes,https://www.facebook.com/OldPineCommunityCenter/,None,"This program covers residents of the following cities: Philadelphia, PA.",39.9430397,-75.1495234,19146,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed
Neighbor to Neighbor Community Development Corporation Inc_Food Cupboard,https://www.auntbertha.com//neighbor-to-neighbor-community-development-corporation%252C-inc.--sharon-hill-pa--food-cupboard/5147295688687616?postal=19113,"['emergency food', 'food pantry']",None,"['all ages', 'individuals', 'families', 'low-income']",610-461-8140,https://n2ncdc.org/programs-services.html,"814 Clifton Avenue, Sharon Hill, PA 19079","https://www.google.com/maps/?q=814+Clifton+Avenue,+Sharon+Hill,+PA+19079/",['This program serves Delaware County residents.'],available,"Neighbor to Neighbor's Food Cupboard, a food program, for Delaware County residents, delivers urgently needed food to low-income community residents. Each food package provides breakfast, lunch and dinner.This program provides:- Fresh vegetables & fruits- Dairy items- Eggs- Canned goods- Baked goods & pastries- Cereal- Poultry, fish, & meatWhen available, infant foods dietary supplements are distributed.Eligible households receive food packages one Thursday per month. Food packages may also be distributed on an emergency or one-time basis for any community household in need.In response to the COVID-19 pandemic, Neighbor to Neighbor Community Development Corporation, Inc. is no longer permitting non-essential staff inside of our building. When you arrive to utilize the food pantry. Please remain outside and a staff member will come to you.",['English'],Free,Yes,https://www.facebook.com/pages/category/Community-Organization/Neighbor-2-Neighbor-Darby-Twp-Sharon-Hill-1925119057550479/,None,"This program covers residents of the following counties: Delaware County, PA.",39.8999092,-75.2691693,19079,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed
Lutheran Settlement House_Jane Addams Place,https://www.auntbertha.com//lutheran-settlement-house--philadelphia-pa--jane-addams-place/5730442313465856?postal=19114,"['temporary shelter', 'case management']","['health education', 'parenting education', 'medical care', 'mental health care', 'recreation', 'navigating the system', 'help find housing']","['all ages', 'female', 'families', 'with children', 'homeless', 'mothers']",215-387-2587,https://www.lutheransettlement.org/lsh-programs/housing-support/,"1007 West Lehigh Avenue,  Philadelphia, PA 19104","https://www.google.com/maps/?q=1007+West+Lehigh+Avenue,+Philadelphia,+PA+19104/",['Centralized Homeless Intake assessment of eligibility required.'],full,"Jane Addams Place clients are admitted through Centralized Homeless Intake Services operated by the Office of Supportive Housing at the Appletree Family Center at 1430 Cherry Street, 215-686-7150. You must go through central intake for an initial assessment of your housing needs before placement. If you are currently experiencing homelessness, please visit the intake center.",['English'],Free,Yes,https://www.facebook.com/pages/Lutheran-Settlement-House/152800584747421,https://www.twitter.com/@LSH1902,"This program covers residents of the following counties: Philadelphia County, PA.",39.9935476,-75.1482898,19133,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT
KITHS_KITHS Kitchen and Garden,https://www.auntbertha.com//kiths--philadelphia-pa--kiths-kitchen-and-garden/5480325573640192?postal=19134,"['emergency food', 'food pantry', 'nutrition education', 'navigating the system']",None,"['all ages', 'immigrants', 'refugees', 'individuals', 'families', 'asian']",215-278-6222,https://www.kithservices.org/kiths-kitchen-and-garden,"4923 Old York Road, Philadelphia, PA 19141","https://www.google.com/maps/?q=4923+Old+York+Road,+Philadelphia,+PA+19141/",[Follow the Next Steps to find out if this program has eligibility criteria.],available,"KITHS Kitchen provides a culturally affirming stock pantry, supplied with food items reflective of what Cambodian refugees and Southeast Asians normally consume, such as canned baby corn, rice, seafood-based staples that are reminiscent of cuisines from their native countries (e.g., fish sauce, oyster sauce, etc.).This program provides:- Food distribution- Nutrition education- Information about food access opportunities- Emergency pantryKITHS cannot guarantee services without an appointment. Please call for more information.",['English'],Free,Yes,https://www.facebook.com/kithsnonprofit/,None,"This program covers residents of the following counties: Philadelphia County, PA.",40.0280863,-75.1461026,19141,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Closed,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,6:30 PM - 8:00 PM,12:00 PM - 6:00 PM,Closed
Kingdom Life Christian Center_Food Distribution,https://www.auntbertha.com//kingdom-life-christian-center--philadelphia-pa--food-distribution/6213025361821696?postal=19134,"['emergency food', 'food pantry']",None,"['anyone in need', 'all ages', 'individuals', 'families']",267-343-5183,https://kingdomlifechristiancenter.snappages.site/20-years-of-harvest,"6325 Frankford Avenue, Philadelphia, PA 19135","https://www.google.com/maps/?q=6325+Frankford+Avenue,+Philadelphia,+PA+19135/",['Anyone can access this program.'],available,"Kingdom Life Christian Center provides food assistance to anyone in the community. We also provide diapers and formula, available while supplies last.This program provides:- Food to meet basic nutritional requirements Check website to see when the food distribution is offered as the times and dates are subject to change.",['English'],Free,Yes,https://www.facebook.com/Kingdom-Life-Christian-Center-NE-148467495247846/,None,"This program covers residents of the following cities: Philadelphia, PA.",40.0277668,-75.0588362,19149,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed
Jewish Relief Agency_Food Assistance and Relief,https://www.auntbertha.com//jewish-relief-agency--philadelphia-pa--food-assistance-and-relief/4873770804707328?postal=19135,"['emergency food', 'food delivery', 'baby supplies', 'personal care items']",None,"['all ages', 'all disabilities', 'individuals', 'families', 'low-income', 'emergency']",610-660-0190,https://jewishrelief.org/request-services,"10980 Dutton Road, Philadelphia, PA 19154","https://www.google.com/maps/?q=10980+Dutton+Road,+Philadelphia,+PA+19154/",['This program helps people with income at or below 150% of federal poverty guidelines.\nMust live in one of the zip codes we service.'],available,"JRA delivers a 15 lbs. box of food monthly via a no-contact drop-off. This program provides:- A monthly supplemental box of kosher pantry staples and fresh produce (from October to April) delivered directly to your door by one of our friendly volunteers. (Knock, Drop, and Go). - A supplemental bag of kid-friendly food items for families with children ages 18 and under. - Donated household items, toiletries, kids' apparel (through a partnership with Cradles to Crayons) diapers and adult incontinence supplies (through a partnership with The Greater Philadelphia Diaper Bank).Some exceptions may apply. For questions, information, or to request services please contact us at (610) 660-0190 or gethelp@jewishrelief.org.","['English', 'Hebrew', 'Russian', 'Spanish']",Free,Yes,https://www.facebook.com/JewishReliefAgency/,https://www.twitter.com/@Jewish_Relief,"This program covers residents of the following postal codes: 18940, 18954, 18966, 18974, 19001, 19002, 19003, 19004, 19006, 19007, 19008, 19010, 19012, 19016, 19018, 19020, 19026, 19027, 19030, 19038, 19040, 19041, 19044, 19046, 19047, 19050, 19053, 19054, 19056, 19057, 19063, 19064, 19066, 19067, 19072, 19082, 19083, 19085, 19087, 19090, 19096, 19102, 19103, 19104, 19107, 19109, 19111, 19114, 19115, 19116, 19118, 19119, 19120, 19123, 19124, 19125, 19126, 19128, 19129, 19130, 19131, 19135, 19136, 19137, 19138, 19143, 19144, 19146, 19147, 19148, 19149, 19150, 19151, 19152, 19154, 19401, 19403, 19406, 19422, 19428, 19438, 19454, 19460 and 19462.",40.0913701,-74.9877659,19154,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Jewish Family and Children's Service of Greater Philadelphia_Our Closet in Your Neighborhood,https://www.auntbertha.com//jewish-family-and-children%2527s-service-of-greater-philadelphia-%2528jfcs%2529--philadelphia-pa--our-closet-in-your-neighborhood-%2528ociyn%2529/5062487914577920?postal=19134,"['emergency food', 'food pantry', 'help find housing', 'housing advice', 'clothing', 'navigating the system']",None,"['anyone in need', 'all ages', 'individuals', 'families']",267-256-2179,https://jfcsphilly.org/our-closet-in-your-neighborhood/,"601 East Indiana Avenue, Philadelphia, PA 19134","https://www.google.com/maps/?q=601+East+Indiana+Avenue,+Philadelphia,+PA+19134/",['Anyone can access this program.'],available,"Our Closet In Your Neighborhood (OCIYN) is a free mobile program that provides basic necessities of food and clothing, as well as access to services and benefits, to families and individuals in need. The bus visits host sites in under-resourced neighborhoods and central locations with fresh, healthy produce and pantry staples, a mini pop-up clothing shop, and an onsite social worker. 

This program provides: 

- Food
- Clothing
- Navigation services

Visitors receive fresh, locally-sourced produce and pantry staples and are welcome to shop for 10 free, quality items of clothing, shoes, and accessories per person (with a limit of 25 total per family to allow for all to receive what they need). A JFCS social worker is present at every OCIYN event to connect those in need to additional services and benefits for which they may be eligible.

OCIYN also provides customized packages of emergency clothing delivered straight to those in need, as well as food package delivery to homebound clients. 

To learn more about these services or upcoming pop-up events, contact 267-256-2179 or [email_protected].",['English'],Free,Yes,https://www.facebook.com/OurClosetIYN/,https://www.twitter.com/@OurClosetIYN,"This program covers residents of the following cities: Philadelphia, PA.",39.9948061,-75.1189178,19134,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed
Helping Hands Ministry Inc_Social Services -Basic Needs Assistance,https://www.auntbertha.com//helping-hands-ministry%252C-inc.--philadelphia-pa--social-services---basic-needs-assistance/6453846037626880?postal=19135,"['emergency food', 'home goods', 'personal care items', 'toys & gifts']",None,"['seniors', 'individuals', 'families', 'low-income', 'in crisis']",267-595-9000,https://www.helpinghandsministryinc.com/how-can-we-serve-you,"5926 Webster Street, Philadelphia, PA 19143","https://www.google.com/maps/?q=5926+Webster+Street,+Philadelphia,+PA+19143/",['This program helps people who are older than 59 years old.'],available,"Helping Hands Ministry, Inc. assists with basic needs for seniors aged sixty or older through their Social Services offering.This program provides:- Personal care items- Non-essential household items- Holiday/birthday gift bags- Emergency foodSeniors in need of these Social Services from Helping Hands Ministry, Inc. can reach out via their online contact form to request assistance.",['English'],Free,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9498348,-75.2421164,19143,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,8:30 AM - 3:30 PM  EDT,8:30 AM - 3:30 PM  EDT,8:30 AM - 3:30 PM  EDT,8:30 AM - 3:30 PM  EDT,8:30 AM - 3:30 PM  EDT,Closed,Closed
Fresh Start Foundation_Emergency Housing for Veterans,https://www.auntbertha.com//fresh-start-foundation--coatesville-pa--emergency-housing-for-veterans/4744972327714816?postal=19114,"['temporary shelter', 'short-term housing']","['mental health care', 'navigating the system', 'case management']","['adults', 'young adults', 'teens', 'seniors', 'veterans', 'individuals', 'homeless']",610-380-1285,https://www.merakey.org/services/veterans-assistance,"1400 Blackhorse Hill Road, Coatesville, PA 19320","https://www.google.com/maps/?q=1400+Blackhorse+Hill+Road,+Coatesville,+PA+19320/",['This program serves veterans.'],available,"Emergency Housing for Veterans provides short-term housing and a bridge to inpatient services or more permanent living situations. The goal of this program is to ensure that no veteran ever sleep on the street or in a shelter when identified by a VA social worker or if he should present for emergency services at an area VAMC, CBOC, or Vet Center. This program provides:- Temporary emergency housingThe program serves as an emergency entry point into the VA's homeless care system and offers a seamless continuity of medical and mental healthcare, and case management services for veterans in need of emergency housing.",['English'],Free,Yes,https://www.facebook.com/MerakeyOrg,None,"This program covers residents of the following counties: Chester County, PA and Philadelphia County, PA.",39.9971936,-75.7973274,19320,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT
